ad_name,campaign_name,ad_set_name,reach,impressions,clicks_link,landing_page_views,video_plays_15_plus_sec,video_plays_25_pct,video_plays_50_pct,video_plays_75_pct,video_plays_100_pct,cost,comments,reactions,engagement,shares,page_likes,estimated_ad_recall_lift,estimated_ad_recall_rate,video_plays_3_sec,indication,brand_target,date
CM~Spon. Ad 3_CT~VID_VD~30s_PH~CONV_BO~TRF_PB~FB_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2Low_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~FB_CN~18225-9-120399_FF~THEIR2Low Pixel RTA,AN~Pixel Search RTA_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,4,4,0,0,0,0,0,0,0,0.04,0,0.0,1,0,0,0,0,1,AST,DTC,2024-05-07
CM~Spon. Ad 1_CT~VID_VD~15s_PH~CONV_BO~TRF_PB~FB_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2Low_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~FB_CN~18225-9-120399_FF~THEIR2Low Pixel RTA LAL,AN~Engagement RTA LAL_TG~LAL_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF - Copy,11361,13182,103,0,0,0,0,0,0,74.13,0,0.0,1744,0,0,0,0,1641,AST,DTC,2024-05-07
CM~Spon. Ad 2_CT~VID_VD~15s_PH~CONV_BO~TRF_PB~FB_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2Low_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~FB_CN~18225-9-120399_FF~THEIR2Low Pixel RTA LAL,AN~Engagement RTA LAL_TG~LAL_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF - Copy,949,980,4,0,0,0,0,0,0,4.95,0,0.0,79,0,0,0,0,75,AST,DTC,2024-05-07
CM~Spon. Ad 3_CT~VID_VD~30s_PH~CONV_BO~TRF_PB~FB_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2Low_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~FB_CN~18225-9-120399_FF~THEIR2Low Pixel RTA LAL,AN~Engagement RTA LAL_TG~LAL_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF - Copy,24346,29101,180,0,0,0,0,0,0,121.74,0,0.0,1812,0,0,0,0,1632,AST,DTC,2024-05-07
CM~Spon. Ad 1_CT~VID_VD~15s_PH~CONV_BO~TRF_PB~FB_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2Low_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~FB_CN~18225-9-120399_FF~THEIR2Low Pixel RTA LAL,AN~Pixel RTA LAL_TG~LAL_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,6,6,0,0,0,0,0,0,0,0.04,0,0.0,0,0,0,0,0,0,AST,DTC,2024-05-07
CM~Spon. Ad 2_CT~VID_VD~15s_PH~CONV_BO~TRF_PB~FB_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2Low_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~FB_CN~18225-9-120399_FF~THEIR2Low Pixel RTA LAL,AN~Pixel RTA LAL_TG~LAL_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,594,634,2,0,0,0,0,0,0,4.93,0,0.0,62,0,0,0,0,60,AST,DTC,2024-05-07
CM~Spon. Ad 2_CT~VID_VD~15s_PH~CONV_BO~TRF_PB~FB_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2Low_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~FB_CN~18225-9-120399_FF~THEIR2Low Pixel RTA LAL,AN~Pixel Search RTA LAL_TG~LAL_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,46,46,0,0,0,0,0,0,0,0.37,0,0.0,6,0,0,0,0,6,AST,DTC,2024-05-07
CM~Spon. Ad 1_CT~VID_VD~15s_PH~CONV_BO~TRF_PB~FB_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2Low_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~FB_CN~18225-9-120399_FF~THEIR2Low Pixel RTA LAL,AN~Pixel Search RTA LAL_TG~LAL_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,458,463,6,0,0,0,0,0,0,4.39,0,0.0,59,0,0,0,0,53,AST,DTC,2024-05-07
CM~Sponsored Ad1_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2Low_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~IG_CN~18225-9-120399_FF~THEIR2Low IG Pixel RTA,AN~Engagement RTA_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,969,1082,5,0,0,0,0,0,0,13.09,0,0.0,227,0,0,0,0,222,AST,DTC,2024-05-07
CM~Sponsored Ad2_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2Low_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~IG_CN~18225-9-120399_FF~THEIR2Low IG Pixel RTA,AN~Engagement RTA_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,1664,2071,10,0,0,0,0,0,0,25.08,0,3.0,331,0,0,0,0,318,AST,DTC,2024-05-07
CM~Sponsored Ad3_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2Low_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~IG_CN~18225-9-120399_FF~THEIR2Low IG Pixel RTA,AN~Engagement RTA_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,485,589,2,0,0,0,0,0,0,8.42,0,1.0,106,0,0,0,0,103,AST,DTC,2024-05-07
CM~Sponsored Ad1_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2Low_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~IG_CN~18225-9-120399_FF~THEIR2Low IG Pixel RTA,AN~Pixel RTA_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,2,2,0,0,0,0,0,0,0,0.09,0,0.0,2,0,0,0,0,2,AST,DTC,2024-05-07
CM~Sponsored Ad1_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2Low_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~IG_CN~18225-9-120399_FF~THEIR2Low IG Pixel RTA,AN~Pixel Search RTA_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,101,111,0,0,0,0,0,0,0,3.11,0,1.0,28,0,0,0,0,27,AST,DTC,2024-05-07
CM~Sponsored Ad2_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2Low_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~IG_CN~18225-9-120399_FF~THEIR2Low IG Pixel RTA,AN~Pixel Search RTA_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,111,136,1,0,0,0,0,0,0,2.67,0,0.0,25,0,0,0,0,24,AST,DTC,2024-05-07
CM~Sponsored Ad3_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2Low_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~IG_CN~18225-9-120399_FF~THEIR2Low IG Pixel RTA,AN~Pixel Search RTA_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,3,3,0,0,0,0,0,0,0,0.04,0,0.0,1,0,0,0,0,1,AST,DTC,2024-05-07
CM~Sponsored Ad1_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2Low_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~IG_CN~18225-9-120399_FF~THEIR2Low IG Pixel RTA LAL,AN~Engagement RTALAL_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,85,88,1,0,0,0,0,0,0,1.6099999999999999,0,0.0,31,0,0,0,0,30,AST,DTC,2024-05-07
CM~Sponsored Ad2_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2Low_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~IG_CN~18225-9-120399_FF~THEIR2Low IG Pixel RTA LAL,AN~Engagement RTALAL_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,1475,1595,21,0,0,0,0,0,0,18.83,0,3.0,440,0,0,0,0,416,AST,DTC,2024-05-07
CM~Sponsored Ad3_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2Low_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~IG_CN~18225-9-120399_FF~THEIR2Low IG Pixel RTA LAL,AN~Engagement RTALAL_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,156,164,4,0,0,0,0,0,0,3.58,0,0.0,61,0,0,0,0,57,AST,DTC,2024-05-07
CM~Sponsored Ad1_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2Low_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~IG_CN~18225-9-120399_FF~THEIR2Low IG Pixel RTA LAL,AN~Pixel Search RTALAL_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,953,958,5,0,0,0,0,0,0,21.83,0,3.0,419,0,0,0,0,411,AST,DTC,2024-05-07
CM~Sponsored Ad1_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2Low_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~IG_CN~18225-9-120399_FF~THEIR2Low IG PurpleLab,AN~DTC Purple Lab_TG~RT_DE~A25-65A_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,1055,1088,5,0,0,0,0,0,0,17.93,0,1.0,447,0,0,0,0,441,AST,DTC,2024-05-07
CM~Sponsored Ad2_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2Low_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~IG_CN~18225-9-120399_FF~THEIR2Low IG PurpleLab,AN~DTC Purple Lab_TG~RT_DE~A25-65A_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,2678,3278,17,0,0,0,0,0,0,44.36,0,0.0,647,0,0,0,0,630,AST,DTC,2024-05-07
CM~Sponsored Ad3_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~IG_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2Low_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~IG_CN~18225-9-120399_FF~THEIR2Low IG PurpleLab,AN~DTC Purple Lab_TG~RT_DE~A25-65A_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,283,326,1,0,0,0,0,0,0,6.36,0,1.0,84,0,0,0,0,82,AST,DTC,2024-05-07
CM~CRM Ad_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2+ 2L_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~FB_CN~18224-9-120398_FF~THEIR2+ 2L Engagement + Video RTA,AN~Engagement RTA_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,9470,11022,111,0,0,0,0,0,0,79.51,0,0.0,880,0,0,0,0,768,BZS,DTC,2024-05-07
CM~Educate Ad 2_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2+ 2L_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~FB_CN~18224-9-120398_FF~THEIR2+ 2L Engagement + Video RTA,AN~Engagement RTA_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,521,591,9,0,0,0,0,0,0,3.69,0,0.0,39,0,0,0,0,30,BZS,DTC,2024-05-07
CM~Educate Ad 3_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2+ 2L_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~FB_CN~18224-9-120398_FF~THEIR2+ 2L Engagement + Video RTA,AN~Engagement RTA_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,200,233,1,0,0,0,0,0,0,2.08,0,0.0,9,0,0,0,0,8,BZS,DTC,2024-05-07
CM~Results Ad_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2+ 2L_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~FB_CN~18224-9-120398_FF~THEIR2+ 2L Engagement + Video RTA,AN~Engagement RTA_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,1750,1950,24,0,0,0,0,0,0,13.21,0,0.0,171,0,0,0,0,147,BZS,DTC,2024-05-07
CM~Educate Ad 3_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2+ 2L_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~FB_CN~18224-9-120398_FF~THEIR2+ 2L Engagement + Video RTA,AN~Video RTA_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,6,9,0,0,0,0,0,0,0,0.03,0,0.0,2,0,0,0,0,2,BZS,DTC,2024-05-07
CM~CRM Ad_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF - Copy,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2+ 2L_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~FB_CN~18224-9-120398_FF~THEIR2+ 2L Engagement + Video RTA,AN~Video RTA_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,472,696,3,0,0,0,0,0,0,4.65,0,0.0,98,0,0,0,0,95,BZS,DTC,2024-05-07
CM~Educate Ad 2_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2+ 2L_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~FB_CN~18224-9-120398_FF~THEIR2+ 2L Engagement + Video RTA,AN~Video RTA_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,3,4,0,0,0,0,0,0,0,0.03,0,0.0,0,0,0,0,0,0,BZS,DTC,2024-05-07
CM~Results Ad_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2+ 2L_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~FB_CN~18224-9-120398_FF~THEIR2+ 2L Engagement + Video RTA,AN~Video RTA_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,2,2,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,BZS,DTC,2024-05-07
CM~CRM Ad_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2+ 2L_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~FB_CN~18224-9-120398_FF~THEIR2+ 2L Engagement + Video RTA LAL,AN~Engagement RTA LAL_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,6187,6776,67,0,0,0,0,0,0,52.93,0,0.0,568,0,0,0,0,501,BZS,DTC,2024-05-07
CM~Educate Ad 2_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2+ 2L_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~FB_CN~18224-9-120398_FF~THEIR2+ 2L Engagement + Video RTA LAL,AN~Engagement RTA LAL_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,167,184,0,0,0,0,0,0,0,0.95,0,0.0,9,0,0,0,0,9,BZS,DTC,2024-05-07
CM~Educate Ad 3_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2+ 2L_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~FB_CN~18224-9-120398_FF~THEIR2+ 2L Engagement + Video RTA LAL,AN~Engagement RTA LAL_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,43,51,0,0,0,0,0,0,0,0.65,0,0.0,0,0,0,0,0,0,BZS,DTC,2024-05-07
CM~Results Ad_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2+ 2L_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~FB_CN~18224-9-120398_FF~THEIR2+ 2L Engagement + Video RTA LAL,AN~Engagement RTA LAL_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,1329,1373,12,0,0,0,0,0,0,10.69,0,0.0,177,0,0,0,0,165,BZS,DTC,2024-05-07
CM~CRM Ad_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2+ 2L_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~FB_CN~18224-9-120398_FF~THEIR2+ 2L Engagement + Video RTA LAL,AN~Video RTA LAL_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,4344,4553,44,0,0,0,0,0,0,30.94,0,0.0,397,0,0,0,0,353,BZS,DTC,2024-05-07
CM~Educate Ad 2_CT~VID_VD~15s_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,YR~24-Q1-01_CL~ASTRA_TA~ONC_DS~THEIR2+ 2L_MB~Neurexa_CU~DTC_CA~B_PH~CONSD_BO~TRF_PB~FB_CN~18224-9-120398_FF~THEIR2+ 2L Engagement + Video RTA LAL,AN~Video RTA LAL_TG~RT_DE~A25-65F_MA~ntl_RG~USA_PH~CONSD_BO~TRF_PB~FB_PD~NEWSF,80,85,1,0,0,0,0,0,0,0.49,0,0.0,2,0,0,0,0,1,BZS,DTC,2024-05-07
